Name,Team,PA,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Edmundo Sosa","PHI",274,93.76460481099656,,89.54030142257463,84.63809640066964,79,93.42272332702021,84.08196231617647,78.0945945945946,84.28571428571429,49.79999923706055,85.13217561141305,80.5999984741211,72.94999694824219,"Edmundo Sosa",17022,624641
"Edouard Julien","MIN",301,94.13460064713897,,90.45283018867924,86.06983971974206,,93.75034828452797,84.73758981523723,79.7098029641544,82.1255848019622,,85.69110966435186,,76.55000305175781,"Edouard Julien",27534,666397
"Edward Olivares","PIT",196,94.17472118959108,,89.30952380952381,84.3,,93.44098200563525,84.61506715539383,80,82.77857317243304,,84.34473941200658,,,"Edward Olivares",19698,658668
"Eguy Rosario","SDP",57,93.21746341765873,,89.68571254185268,,83.6,93.49024628429878,85.34629991319444,77.56842362253289,80.375,,82.3153827373798,,,"Eguy Rosario",19964,666703
"Elehuris Montero","COL",247,93.62453014445755,,89.08813890360169,86.64444308810764,,93.39749755859376,84.51245577830188,79.54027642144098,81.79000244140624,,85.7937520345052,,77.2000020345052,"Elehuris Montero",20543,660707
"Elias Díaz","- - -",351,93.8333371480306,,89.0032979105855,86.43599731445312,,93.53098971784607,84.60714047914976,79.25925756383825,81.45384333683894,,84.07206187528722,,76.89999898274739,"Elias Diaz",11680,553869
"Elly De La Cruz","CIN",696,94.194003190899,,89.60152522662214,86.5,78.4000015258789,92.95451524522569,84.07906458797328,79.93740596064815,82.19999842489919,53.900001525878906,85.22092647506082,,77.95,"Elly De La Cruz",26668,682829
"Eloy Jiménez","- - -",349,93.77174939010223,,88.93999720982143,87.14528440079599,,93.16962753723715,84.9602769639757,79.83972669627569,79.29333292643229,,85.25986195259354,,,"Eloy Jimenez",17484,650391
"Emmanuel Rivera","- - -",302,93.70792593607088,,89.11182821950605,86.70000159222147,,93.26239691840277,84.106787109375,78.95529282513787,78.91666666666667,42.900001525878906,84.67326490949877,,,"Emmanuel Rivera",19890,656896
"Enmanuel Valdez","BOS",223,94.04983922829582,,90.93970444623162,85.4,,92.13510846077128,84.39321108217592,79.2897448417468,82.9260890794837,35.79999923706055,87.14444599454364,,78.25999755859375,"Enmanuel Valdez",21716,665839
"Enrique Hernández","LAD",393,94.21034819504311,,89.64071142146018,84.66000279017857,85.13333129882812,93.56634242238562,84.88037634408602,79.4954034213362,80.52608589504077,,84.55446079799107,,72.76666259765625,"Enrique Hernandez",10472,571771
"Eric Haase","MIL",69,92.82000229779412,,88.83684339021382,87.0142822265625,,93.47142682756696,84.98048661394817,79.1478271484375,80.2000020345052,64.25,83.59444173177083,,58.79999923706055,"Eric Haase",14111,606992
"Eric Wagaman","LAA",74,94.66915309175532,,89.66111246744792,86.44286237444196,,93.204345703125,85.33764935661765,78.75,,,84.99545565518466,,,"Eric Wagaman",23395,676572
"Ernie Clement","TOR",452,94.20828753140704,,89.1857173859127,86.38823385799633,,93.75162172833934,84.40053684826204,80.07764820772059,82.08125305175781,39.79999923706055,85.19870841733871,,,"Ernie Clement",20352,676391
"Esteury Ruiz","OAK",65,92.76666787229938,,88.69444444444444,,,92.84772838245739,83.12241547683189,78.7782619310462,86.4000015258789,,85.85714285714286,,,"Esteury Ruiz",21780,665923
"Estevan Florial","CLE",111,94.26206896551724,,89.43191073803192,86.11666531032986,,93.88965685614224,83.79789268092105,81.11785888671875,83.70588235294117,,86.48028306558099,,,"Estevan Florial",19151,664314
"Eugenio Suárez","ARI",640,94.17736289381564,,89.44026583473155,86.04761904761905,83.4000015258789,93.85105155590718,84.79852813521242,79.96666949728261,82.77209188771802,53,85.1995088180693,,76.52307598407452,"Eugenio Suarez",12552,553993
