Name,Team,PA,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Tyrone Taylor","NYM",345,-0.6929861614454231,,1.0081067615085177,-5.264095942179362,,-3.6161347138716877,2.157198727785886,1.32525634765625,2.1640905900435015,-0.644649863243103,5.270000203450521,,-1.961257815361023,"Tyrone Taylor",13675,621438
"Wilyer Abreu","BOS",447,-4.021069809340374,,0.5005988226996527,-6.340972900390625,,-2.9162918592282865,1.4519300251981637,4.83989356545841,4.206391334533691,-4.445735931396484,-8.025444030761719,-5.641587575276692,-1.9804126739501953,"Wilyer Abreu",23772,677800
"Nick Ahmed","- - -",228,-1.408560787930208,,0.7761871182713015,1.1286939212254115,,-1.757323301291164,2.4907995959122977,-0.2787300392433449,4.020608348231161,,5.74152794437132,,-2.003990093866984,"Nick Ahmed",12147,605113
"Cristian Pache","- - -",183,3.2778447265625,,0.37676959288747686,0.10271879037221272,-2.0999627113342285,1.0398422970491297,0.4758476930506089,-1.6416333085399564,0.06720921397209167,,8.055619343672648,,-2.0162694454193115,"Cristian Pache",19948,665506
"Brandon Marsh","PHI",476,-3.6008853291858203,,0.40061071756723765,-6.192047901642629,-3.738236427307129,-2.5632814315171935,0.87354956302546,4.316739637586806,2.1631913618607954,,-8.559349423363095,-3.706389617919922,-2.020535469055176,"Brandon Marsh",20202,669016
"David Hamilton","BOS",317,-3.4830830891927085,,0.15598276794933882,-6.396025459721403,,-5.1331783364886885,2.406077914767795,4.650352275477046,4.04708251953125,-4.328856468200684,-8.34989882960464,,-2.054255803426107,"David Hamilton",27531,666152
"Bryce Harper","PHI",631,-1.9187587890625,,0.4673910300824895,-5.769238679305367,,2.520548274008076,-0.12837033136653514,3.1363871256510416,0.6922306537628173,,-5.554462208467371,-3.753282308578491,-2.083677291870117,"Bryce Harper",11579,547180
"Carlos Santana","MIN",594,-1.851655058808379,,0.5905950927734375,-5.874625679496285,,-3.736458002134811,1.9590782752403846,2.620376908151727,2.2398365565708707,,-2.898265710037746,,-2.124586900075277,"Carlos Santana",2396,467793
"Pavin Smith","ARI",158,-3.4765126255580356,,0.5385897294530329,-6.343605804443359,,-1.8828092876233553,2.288387522977941,2.928479253029337,2.930013656616211,-1.2099878787994385,-7.961403014167907,-4.6108955383300785,-2.1566313107808432,"Pavin Smith",19892,656976
"Victor Scott II","STL",155,-2.5703973679315477,,-0.15903862061039095,-5.7925669352213545,,-1.1605815887451172,0.4309825897216797,3.715812487479968,4.1095452308654785,,-6.840776848070549,-4.456851005554199,-2.196876843770345,"Victor Scott II",31349,687363
"Travis d'Arnaud","ATL",341,-2.263513236210264,,1.185841671256132,-5.571493740739493,-3.9951438903808594,-5.247064142881317,3.083117222269253,2.2823148454938615,4.634030024210612,,4.270675144838483,,-2.2551695505777993,"Travis d'Arnaud",7739,518595
"Christian Vázquez","MIN",315,-0.8159049011708551,,0.9861589629074623,-2.4267723376934347,,-6.385197781968391,2.6309004232917035,1.6079474954044117,0.9669327302412554,,5.466431822957872,,-2.2871313095092773,"Christian Vazquez",9774,543877
"Jarred Kelenic","ATL",449,-3.569084846252224,,0.6548523494175502,-6.536169928473395,-4.694051265716553,-3.13474025974026,1.5401842322716346,4.1111857930167774,4.095145201071714,4.395036220550537,-8.108687287004887,,-2.338282012939453,"Jarred Kelenic",22558,672284
"Willie Calhoun","LAA",254,-4.120411682128906,,0.8161662051552221,-6.913618905203683,,-3.1095801965514225,2.6016828219095864,4.796081007572642,3.936379909515381,,-8.45748334226355,,-2.346851030985514,"Willie Calhoun",17838,641432
"Willi Castro","MIN",635,-2.370558874947684,,0.7606801768960474,-6.156074855638587,,-3.370860366528975,2.183703960400622,2.5210755050823255,2.2111266089267416,,-3.739413654426333,,-2.359598159790039,"Willi Castro",17338,650489
"Nick Senzel","- - -",267,-1.7119328724710565,,0.011142465897968837,-4.701677242914836,,-4.584784844909051,2.460402496461946,0.6740902242526202,3.569678624471029,,3.236438826510781,,-2.3714842796325684,"Nick Senzel",19293,669222
