Name,Team,IP,botCmd FA,botCmd SI,botCmd FC,botCmd FS,botCmd SL,botCmd CU,botCmd CH,botCmd KC,botOvr,botStf,botCmd,botxRV100,botERA,NameASCII,PlayerId,MLBAMID
"Gregory Soto","- - -",53,26.37614296792036,53.06740942946235,,,43.23246610913705,,,,55.478099255469594,65.22091327048534,48.31471087963295,-0.21492322796029686,3.7547075368713303,"Gregory Soto",19677,642397
"Gavin Williams","CLE",76,56.93323830965908,,55.799045853658534,,20,41.37518376383763,48.76432067567568,,55.51507590643275,55.90594413011694,51.99810347953216,-0.21722003654970762,3.7512619078947367,"Gavin Williams",30122,668909
"Shawn Armstrong","- - -",66.2,59.414129932321565,55.129513537605575,48.65398138378561,,59.32386934477286,,,,55.610418968225595,44.09705541886552,59.4925356807239,-0.2231428304902408,3.7423779237204546,"Shawn Armstrong",12857,542888
"Spencer Arrighetti","HOU",145,53.83895042843232,,66.59805290650407,,38.009351407407415,49.91416788423153,48.01768530232558,,55.70672398166598,58.22203903148665,54.412698585093665,-0.22912754085292944,3.733401263451574,"Spencer Arrighetti",29921,681293
"Cionel Pérez","BAL",53.2,48.82839875598087,47.14170612121213,,,46.56789058641976,,,,55.71251554913297,57.4320761734104,49.80128588439306,-0.22948619653179197,3.7328627861271673,"Cionel Perez",19614,672335
"Spencer Turnbull","PHI",54.1,47.31003927899686,44.97281044247787,,,52.74924424929178,44.78837475609757,51.096926326530614,,55.72617727173913,57.32967926086956,49.311795869565216,-0.23033405434782606,3.731591510869565,"Spencer Turnbull",16207,605513
"Kyle Finnegan","WSN",63.2,58.737807558945896,,,55.365372822299676,47.33087254237287,,,,55.74003224489796,48.96331761595549,57.84989443413728,-0.23119598330241192,3.730297959183674,"Kyle Finnegan",15009,640448
"James McArthur","KCR",56.2,46.31545935064934,52.73957562111801,,,46.00252664948453,61.38947973684213,,,55.852442057522126,55.82997095132742,54.590347931415934,-0.23817930309734509,3.7198231526548673,"James McArthur",21527,663704
"John Brebbia","- - -",55.1,51.12392955789473,,,,53.112825203883496,,20,,55.88325768844222,44.517453467336686,54.41037677386934,-0.2400936783919598,3.716951959798995,"John Brebbia",12777,605154
"Jameson Taillon","CHC",165.1,59.54109923809525,53.946604833948335,62.11058032154342,,61.24027901298704,62.16164593406594,59.65393698113209,,55.90205911397502,40.55432714458316,64.61019822795005,-0.24126199758356823,3.715200016109544,"Jameson Taillon",11674,592791
"Mitch Spence","OAK",151.1,,28.876830922140062,41.213037790224035,,64.37046950617284,58.30966789297659,38.58846208333333,,55.90594329572925,49.87203533440774,47.77126955278002,-0.24150335616438356,3.7148368412570507,"Mitch Spence",27707,687765
"Luke Jackson","- - -",53,42.169703298969075,,57.124635,,47.82837316973417,58.6602332149401,,,55.92727539630836,61.02984853420195,46.34876907709012,-0.2428282410423453,3.7128503148751357,"Luke Jackson",11752,592426
"Jacob Webb","BAL",56.2,48.62313243243241,,,,52.505722996108936,,56.88557335937499,,56.0778338804348,54.12794602173913,52.5941428478261,-0.2521822499999999,3.698819402173914,"Jacob Webb",19274,657097
"Adam Ottavino","NYM",56,44.098645531914904,50.945972882352955,45.33746373831776,,54.53286900990096,,31.50175219999999,,56.109001449999994,55.98044082000002,52.06708052,-0.25411857,3.6959146999999994,"Adam Ottavino",1247,493603
"Luis García","- - -",59,35.44481254545455,54.169002704883226,39.034035444444434,53.19783359754175,38.970609500612,,,,56.14189949326336,58.4020497779444,49.57148820668592,-0.2561631419105162,3.6928480658889953,"Luis Garcia",6984,472610
"Kevin Ginkel","ARI",70,57.24304175895766,50.84278166666666,,,47.83902367032968,,,,56.15603643881858,50.4346026413502,55.93316744303797,-0.25704079324894513,3.6915317890295363,"Kevin Ginkel",19876,656464
"Ryne Nelson","ARI",150.2,61.99810902311707,,58.48438149321267,,59.00859194811713,49.0766010218978,49.985512521008395,,56.156329052762764,49.224589260490234,62.5359161279601,-0.2570579767345244,3.6915059742417946,"Ryne Nelson",26253,669194
"Ben Joyce","LAA",34.2,47.126209392712546,48.914154249999996,,,43.09288426829268,,20,,56.1721931608133,63.767256691312376,46.01386545286506,-0.2580452865064694,3.6900244916820713,"Ben Joyce",31461,690829
"Bryan Abreu","HOU",78.1,43.28737013311148,,,,54.701423469985365,,20,,56.22670104408351,62.48969124516629,50.304771593194126,-0.2614318484145397,3.6849449187935037,"Bryan Abreu",16609,650556
"Carmen Mlodzinski","PIT",50.2,53.64985374602211,,59.828508843930635,,46.559549472545406,,35.16264,,56.25401118956242,55.171302285404984,54.60895132974881,-0.26312821919683527,3.682399680965397,"Carmen Mlodzinski",27572,669387
"Tanner Bibee","CLE",173.2,53.297541042845616,28.1602,,,58.970050819672124,57.07294996666666,53.21950499999999,,56.30015263582194,54.66344186470381,55.808837427269545,-0.26599427970557316,3.678101146161935,"Tanner Bibee",30134,676440
"Hunter Greene","CIN",150.1,52.880109307909606,,,34.11747560747663,45.11845656531531,51.29161733333333,,,56.369247019118205,54.343274826375335,48.682661673819744,-0.27028683183769026,3.671662953570035,"Hunter Greene",22182,668881
"Jorge Alcala","MIN",58.1,45.196139999999986,47.937585428571424,,,62.406667555555565,,40.773963604651165,,56.39401069593144,61.687248308351194,53.503014957173434,-0.27182512847965723,3.6693547644539617,"Jorge Alcala",19459,660896
"Hunter Harvey","- - -",50.2,57.52801685512368,,,55.88554004761906,36.99359285714286,44.708070357142866,,,56.421828852097136,51.29302552980133,53.649769448123614,-0.273552880794702,3.6667625827814563,"Hunter Harvey",15507,640451
"Andrew Heaney","TEX",160,58.5208694376968,20,20,,53.2441893789003,71.46325877551021,53.45028938809761,,56.42785290033253,52.08776542621347,58.37879242495963,-0.2739271948262488,3.6662010121711957,"Andrew Heaney",15423,571760
"Clay Holmes","NYY",63,,38.311281044045685,,,53.62062372881357,,,,56.44260840552995,60.02342128110599,46.20326102304147,-0.2748441382488478,3.664826156682027,"Clay Holmes",13649,605280
"Nick Lodolo","CIN",115.1,59.06119224438901,58.058050445344136,,,,40.18959662082516,50.2637922875817,,56.52898704021447,49.69885626809653,51.87323856300267,-0.28021039142091153,3.6567770348525466,"Nick Lodolo",26378,666157
