Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Miguel Vargas","- - -",0.24659864,0.72209026,0.44499504,0.76551724,0.84210526,0.81737194,0.4172448,0.59915612,0.08126858,0.16947473,0.25074331,"Miguel Vargas",20178,678246
"Blaze Alexander","ARI",0.33649289,0.76712329,0.51260504,0.57042254,0.86607143,0.75136612,0.40896359,0.58378378,0.12745098,0.1232493,0.25070028,"Blaze Alexander",23789,677942
"Anthony Rizzo","NYY",0.36470588,0.67525773,0.49092179,0.69032258,0.93129771,0.82503556,0.40642458,0.6,0.08583391,0.16468946,0.25052338,"Anthony Rizzo",3473,519203
"Brendan Donovan","STL",0.26676385,0.64721724,0.43724859,0.73497268,0.93203883,0.86568537,0.44810941,0.59662577,0.05870527,0.19179735,0.25050261,"Brendan Donovan",24679,680977
"Jose Altuve","HOU",0.39646134,0.69719828,0.51018745,0.70082645,0.88562597,0.79632588,0.37815811,0.64516129,0.10382736,0.1465798,0.25040717,"Jose Altuve",5417,514888
"Salvador Perez","KCR",0.46411483,0.77565632,0.57757497,0.62297496,0.86461538,0.74115877,0.36418948,0.65184049,0.14937039,0.10030395,0.24967434,"Salvador Perez",7304,521692
"Abraham Toro","OAK",0.34814815,0.65753425,0.47776184,0.72695035,0.94010417,0.84984985,0.41893831,0.57142857,0.07168459,0.17777778,0.24946237,"Abraham Toro",19844,647351
"Matt Olson","ATL",0.33333333,0.73200993,0.49694501,0.70120898,0.80677966,0.76502732,0.41038697,0.59854015,0.11664971,0.13224822,0.24889793,"Matt Olson",14344,621566
"Brooks Baldwin","CHW",0.39495798,0.79144385,0.56941176,0.69148936,0.83108108,0.7768595,0.44,0.70247934,0.12676056,0.12206573,0.24882629,"Brooks Baldwin",31394,681460
"Freddy Fermin","KCR",0.35411765,0.73458904,0.50906555,0.64119601,0.8997669,0.79315068,0.40725244,0.6576087,0.10522648,0.14355401,0.24878049,"Freddy Fermin",21840,666023
"Michael Massey","KCR",0.39798489,0.69962687,0.51954887,0.72468354,0.936,0.83936324,0.40300752,0.64606742,0.08339594,0.16528926,0.2486852,"Michael Massey",27684,686681
"Charlie Blackmon","COL",0.33058608,0.67512077,0.47916667,0.72022161,0.89445438,0.82608696,0.43125,0.61923848,0.08320333,0.16536661,0.24856994,"Charlie Blackmon",7859,453568
"Christian Walker","ARI",0.2829912,0.76631579,0.48141746,0.58031088,0.85714286,0.76122083,0.41054451,0.57246377,0.1147541,0.13373598,0.24849008,"Christian Walker",13419,572233
"Jose Miranda","MIN",0.38444924,0.73127036,0.52272727,0.66853933,0.89977728,0.79751553,0.3987013,0.62703963,0.10577547,0.14211551,0.24789098,"Jose Miranda",20538,669304
"Nicky Lopez","CHW",0.32173913,0.68926554,0.48157248,0.68581081,0.90163934,0.82015306,0.43488943,0.63146067,0.08660934,0.16093366,0.247543,"Nicky Lopez",19339,670032
"Randal Grichuk","ARI",0.31012658,0.70175439,0.47426471,0.65306122,0.91875,0.81782946,0.41911765,0.58781362,0.08615949,0.1604033,0.24656279,"Randal Grichuk",10243,545341
"Masataka Yoshida","BOS",0.29171396,0.65589888,0.45448839,0.74708171,0.93576017,0.86878453,0.44695543,0.54394299,0.05959849,0.18632371,0.24592221,"Masataka Yoshida",31837,807799
"Luis Campusano","SDP",0.35294118,0.69978402,0.50976563,0.7020202,0.87962963,0.81226054,0.45214844,0.63879599,0.09560976,0.1502439,0.24585366,"Luis Campusano",22217,669134
"Max Kepler","MIN",0.3559322,0.76019576,0.52136182,0.61269841,0.89270386,0.77976953,0.40921228,0.63157895,0.11474316,0.13075384,0.245497,"Max Kepler",12144,596146
"Curt Casali","SFG",0.23134328,0.68115942,0.42736842,0.72580645,0.87943262,0.83251232,0.43578947,0.672,0.07127883,0.17400419,0.24528302,"Curt Casali",12510,592200
"Miguel Amaya","CHC",0.37651822,0.75729927,0.53840186,0.64157706,0.8939759,0.7925072,0.42513576,0.66115702,0.11136891,0.13379737,0.24516628,"Miguel Amaya",21693,665804
"Andrew Benintendi","CHW",0.27937095,0.71115974,0.47719298,0.71192053,0.87076923,0.82037815,0.45814536,0.6091954,0.08562844,0.15923886,0.2448673,"Andrew Benintendi",17901,643217
"Jake Cronenworth","SDP",0.26534653,0.66774454,0.44622093,0.71393035,0.91404358,0.8485342,0.44949128,0.57926829,0.06751361,0.17676951,0.24428312,"Jake Cronenworth",18036,630105
"Anthony Santander","BAL",0.37515006,0.6875,0.49744339,0.7648,0.87109905,0.82232012,0.39152666,0.61353383,0.08825675,0.15572575,0.24398249,"Anthony Santander",14551,623993
"Ildemaro Vargas","WSN",0.32569558,0.63087248,0.45463138,0.79396985,0.95390071,0.88773389,0.42249527,0.61386139,0.05079962,0.19285042,0.24365005,"Ildemaro Vargas",13324,545121
"Ronald Acuña Jr.","ATL",0.26768642,0.7460733,0.46961326,0.65714286,0.8,0.75294118,0.42209945,0.64414414,0.1160221,0.12707182,0.24309392,"Ronald Acuna Jr.",18401,660670
"Gio Urshela","- - -",0.39834881,0.74130737,0.54443128,0.74870466,0.87429644,0.82154516,0.42594787,0.68329718,0.09681228,0.14580874,0.24262102,"Gio Urshela",10681,570482
"Richie Palacios","TBR",0.26358696,0.73944954,0.46604215,0.62371134,0.85111663,0.77721943,0.42544887,0.59810127,0.10382514,0.1381733,0.24199844,"Richie Palacios",24589,680700
"Justin Turner","- - -",0.28560548,0.67428004,0.45431034,0.768,0.89543446,0.85009488,0.43405172,0.57513915,0.0680155,0.17391304,0.24192854,"Justin Turner",5235,457759
"Alejandro Kirk","TOR",0.30952381,0.69004894,0.46555184,0.76923077,0.92671395,0.86494253,0.41003344,0.62694301,0.06279225,0.17902472,0.24181697,"Alejandro Kirk",22581,672386
"Nico Hoerner","CHC",0.35155657,0.65295888,0.48141746,0.81209503,0.95084485,0.89317774,0.43085566,0.65054602,0.05138169,0.19041451,0.2417962,"Nico Hoerner",21479,663538
"Josh Bell","- - -",0.31415929,0.75056689,0.48614835,0.62206573,0.85951662,0.76654412,0.39410188,0.58706468,0.11349419,0.12734584,0.24084004,"Josh Bell",13145,605137
"Nick Fortes","MIA",0.34330709,0.64354528,0.47833622,0.80733945,0.92215569,0.87681159,0.44974003,0.71343284,0.05887446,0.18181818,0.24069264,"Nick Fortes",21538,663743
"Vidal Bruján","MIA",0.33001658,0.76053215,0.5142315,0.66331658,0.86297376,0.7896679,0.42789374,0.65107914,0.10795455,0.13257576,0.2405303,"Vidal Brujan",20536,660644
"Mike Trout","LAA",0.21405751,0.67816092,0.42508711,0.64179104,0.89830508,0.82786885,0.45470383,0.57936508,0.07317073,0.16724739,0.24041812,"Mike Trout",10155,545361
"Andrés Giménez","CLE",0.40751658,0.74880153,0.55583333,0.66907776,0.87836108,0.7916042,0.43458333,0.62559242,0.1156406,0.12437604,0.24001664,"Andres Gimenez",19950,665926
"Alex Bregman","HOU",0.26544118,0.69119071,0.44922691,0.8033241,0.92717087,0.8855814,0.43167572,0.6340694,0.05137845,0.18838764,0.23976608,"Alex Bregman",17678,608324
"Avisaíl García","MIA",0.4,0.89473684,0.60215054,0.45454545,0.89705882,0.72321429,0.40860215,0.64705882,0.16489362,0.07446809,0.2393617,"Avisail Garcia",5760,541645
"Brice Turang","MIL",0.31676558,0.64438503,0.46558704,0.80562061,0.92392808,0.88,0.45425101,0.62520194,0.05578011,0.18350849,0.2392886,"Brice Turang",22186,668930
"Juan Yepez","WSN",0.35893155,0.73297003,0.5010352,0.69302326,0.89591078,0.80578512,0.37991718,0.60240964,0.09720786,0.14167528,0.23888314,"Juan Yepez",18400,660766
"Miguel Andujar","OAK",0.38439306,0.67701863,0.50468085,0.7481203,0.94801223,0.85834739,0.41106383,0.63322884,0.07136788,0.16737468,0.23874257,"Miguel Andujar",15878,609280
"Yordan Alvarez","HOU",0.33504776,0.6910299,0.4770318,0.68421053,0.90705128,0.81296296,0.39885159,0.58425197,0.0889476,0.14927345,0.23822105,"Yordan Alvarez",19556,670541
"Victor Robles","- - -",0.34602649,0.77644231,0.52156863,0.58851675,0.87306502,0.7612782,0.40784314,0.69830508,0.12438786,0.1136141,0.23800196,"Victor Robles",18363,645302
"Nick Gonzales","PIT",0.38352638,0.7962963,0.56236324,0.59395973,0.8794926,0.769131,0.43326039,0.65891473,0.12973761,0.10787172,0.23760933,"Nick Gonzales",27490,693304
