Name,Team,IP,botStf FA,botStf SI,botStf FC,botStf FS,botStf SL,botStf CU,botStf CH,botStf KC,botOvr,botStf,botCmd,botxRV100,botERA,NameASCII,PlayerId,MLBAMID
"Ben Brown","CHC",55.1,51.19832605263158,,,,,,38.27471194805195,52.9756702640264,47.662947762073024,46.91941726737337,48.90932413427562,0.27060429917550055,4.4829998822143695,"Ben Brown",23590,676962
"Alec Marsh","KCR",129,45.497011063829774,50.3603856521739,,,47.208876910569096,41.20361371830985,47.403195185185176,,47.6984090892279,43.12168609338882,47.19984928340269,0.26840069348127593,4.479693231622745,"Alec Marsh",27451,679525
"Dillon Tate","- - -",36.2,64.522,44.00595645768027,,,55.222005939086294,,51.97430256756758,,47.73857634517767,49.84966240270728,44.058168460236885,0.26590544839255503,4.475950761421318,"Dillon Tate",17796,622253
"Brad Keller","- - -",41.1,45.46285432142857,54.92911429714285,,,38.44863106918238,39.783668181818186,39.306589381443295,,47.83631056451613,41.76963212365592,47.436716505376346,0.2598327688172043,4.46684251344086,"Brad Keller",15734,641745
"Tobias Myers","MIL",138,45.831212250580045,33.40520888888889,35.17147168016196,,33.5779209977827,39.15767681818182,52.114002081632655,,47.8445008453321,41.05731613098005,52.24488189967488,0.2593241987923827,4.466079024616814,"Tobias Myers",22191,668964
"Tyler Phillips","PHI",36.2,55.841220555555545,39.583215055555556,,,48.32981230769231,47.10655180722892,38.63753605263158,,47.859484463667826,44.8301255017301,47.56341079584775,0.2583922491349481,4.464681453287198,"Tyler Phillips",20629,663969
"Ross Stripling","OAK",85.1,32.28674929440389,33.18261378238343,24.21580060185185,,26.30145637362637,,45.05251539748954,26.807517350427347,47.872280735835176,28.531934643119936,61.025401133186165,0.257598557763061,4.463489646799117,"Ross Stripling",13273,548389
"Drew Smyly","CHC",58.2,,47.85536254098359,31.04394363636364,,54.00497,,,50.25424663967612,47.88937599803343,45.0899797640118,54.516597817109144,0.25653676499508365,4.4618976302851525,"Drew Smyly",11760,592767
"DL Hall","MIL",43,55.35228016949153,,,,52.032026964285706,55.814719423076916,48.22230775,,47.90425632183908,52.45769054916986,52.19788301404853,0.25561222222222224,4.46051098339719,"DL Hall",22207,669084
"Bailey Falter","PIT",142.1,46.0504960199005,41.11781784982936,,24.230346363636368,33.14733484513274,36.24268184466018,,,47.91667672131146,35.626407155255535,55.71877637897783,0.2548416682738669,4.4593546142719385,"Bailey Falter",20070,663559
"Sean Manaea","NYM",181.2,44.4880033233533,45.28186554783951,46.583323127962096,,48.9451256693989,,47.22592920588235,,48.01032033950617,46.21001565500686,51.22176314471879,0.2490232887517147,4.450627194787381,"Sean Manaea",15873,640455
"Enyel De Los Santos","- - -",64,37.43731847396768,,,,46.59319297520661,,47.70291494252873,,48.09026865961199,41.09191764550265,59.44465965608466,0.2440559171075838,4.443176137566137,"Enyel De Los Santos",18403,660853
"Ryan Feltner","COL",162.1,45.60456037854889,49.47956567073171,,,44.44356227828746,44.09682323076923,41.30977451187335,,48.16473370542637,42.86002527906977,51.34225001550387,0.2394288294573644,4.4362353255813955,"Ryan Feltner",21446,663372
"Chase Anderson","- - -",58.1,26.677609470198675,40.158254033613446,47.0003061627907,,35.75732649350649,42.0051643902439,55.68437375404531,,48.17382572691552,47.54366389980354,45.465527436149316,0.23886453831041263,4.4353889194499025,"Chase Anderson",6895,502624
"Andrew Abbott","CIN",138,47.45875971977583,,,,67.3157402078522,52.172485,45.55418703412074,,48.210486116588086,49.55058783111873,49.66117037291042,0.23658777968281183,4.431974693527646,"Andrew Abbott",29911,671096
"Brendon Little","TOR",45.2,,64.55451730478589,54.4301932051282,,,,,52.94538018099548,48.32242972740318,56.89958111908178,40.53674905308464,0.2296314347202296,4.421539756097562,"Brendon Little",21574,663893
"Kirby Yates","TEX",61.2,46.0870115,,,52.192571383811995,33.32758833333333,,,,48.34459283838382,46.82695946464645,55.19457357575757,0.22825543434343434,4.4194752525252525,"Kirby Yates",9073,489446
"Cade Povich","BAL",79.2,51.298046378091875,44.38920084112151,41.772724326923075,,48.297856111111116,44.683893933823526,38.16212231788079,,48.37726200143988,43.884515406767456,51.83947522678186,0.2262241396688265,4.416429330453563,"Cade Povich",30055,700249
"Paul Blackburn","- - -",75.1,32.953775805084746,34.13789878787879,48.83510591760299,,41.744997425742575,43.035521626016255,38.252832922374424,,48.52342621287129,39.127197070957095,55.090683539603965,0.21714553630363034,4.402810041254126,"Paul Blackburn",14739,621112
"Shelby Miller","DET",55.2,51.97038978640777,,59.96902,45.8128280625,38.52822895953758,,,,48.62043889800703,46.33765487690504,52.416965463071534,0.2111176201641267,4.393768686987103,"Shelby Miller",10197,571946
"Graham Ashcraft","CIN",77.1,,35.76294493506493,45.487055583203734,,56.49200595794393,,49.77176307692308,,48.63816105067064,52.303421058122204,42.270731557377054,0.21001759314456034,4.392117690014904,"Graham Ashcraft",27552,668933
"Tanner Gordon","COL",34.1,30.575492972972974,38.09596,,,32.632151975308645,40.02439235294118,46.322787500000004,,48.697147462932456,31.74423217462932,63.391440461285015,0.2063518945634267,4.386621169686985,"Tanner Gordon",27669,685299
"Merrill Kelly","ARI",73.2,42.592142544642854,33.6916797005988,37.96163898954704,,22.860272462686567,43.237514545454545,48.43562974895398,,48.697544479440076,39.30932316710411,55.82523253718285,0.2063278652668417,4.386582659667542,"Merrill Kelly",11156,518876
"Davis Martin","CHW",50,45.5461981496063,,48.24692423076923,,52.21912991631799,39.803420882352945,62.85350834285715,,48.710877556053816,52.8833467264574,51.30586001121077,0.2055005269058296,4.385342623318386,"Davis Martin",21448,663436
"Jhony Brito","SDP",43.2,40.97824748502993,62.98184480769229,,,43.801033108108115,,47.63229476851852,40.34548071428571,48.74273674603174,48.06827592063492,54.58410207936508,0.20352038095238095,4.382372666666667,"Jhony Brito",25386,666745
