Name,Team,IP,botOvr FA,botOvr SI,botOvr FC,botOvr FS,botOvr SL,botOvr CU,botOvr CH,botOvr KC,botOvr,botStf,botCmd,botxRV100,botERA,NameASCII,PlayerId,MLBAMID
"Jordan Wicks","CHC",46,63.55487633507854,45.97849616071428,53.161116666666665,,35.40069405405406,25.436927884615386,54.19064404545454,,53.88666994131456,51.263158321596244,53.29458691314554,-0.1160539319248826,3.9030115023474172,"Jordan Wicks",30094,696136
"Phil Maton","- - -",64,,56.49214762238805,47.72301578840946,,62.889289868198425,53.096166226758,,,53.93630423299042,65.1586516334215,40.509339808741515,-0.11913677973586709,3.898387031426017,"Phil Maton",18064,664208
"Nestor Cortes","NYY",174.1,56.52766880048093,26.024409729729722,51.950299394751795,,50.615008154243284,,48.16627290983002,,53.945592247695835,51.366107752660255,54.87577048743126,-0.11971409078852618,3.8975216996564837,"Nestor Cortes",17874,641482
"David Festa","MIN",64.1,52.73782486425339,,,,52.84081679083095,,57.874198863636366,,53.9483160054595,60.42357064604186,57.02549893539582,-0.11988363967242947,3.897266733393994,"David Festa",30056,701581
"Trevor Williams","WSN",66.2,63.613227286821704,50.01434751937984,,,44.62489772357723,,49.918153575419,,53.97666762218045,50.26218986842105,59.84760955827068,-0.12164485902255635,3.8946243233082702,"Trevor Williams",16977,592866
"Mitch Keller","PIT",178,51.8164218822171,47.6771555183413,56.17638257879657,,56.42177322580644,50.54830343065694,64.45745933333333,,53.97700807854139,46.875134105890616,55.9452442952314,-0.12166546633941094,3.8945950596072936,"Mitch Keller",17594,656605
"Jorge López","- - -",53,51.84985043003731,51.613068438190766,,,50.692293475780964,,56.947726808510645,58.04275075471697,54.024338665835415,49.52705296758104,58.749230162094754,-0.12460571072319204,3.890183902743143,"Jorge Lopez",14527,605347
"Randy Vásquez","SDP",98,51.13890677083335,54.73995158490567,55.61559051948051,,62.50379349112426,55.55815262048192,50.8593370952381,,54.02777691350711,50.841311095971555,54.658385799763025,-0.12481864928909953,3.8898640225118477,"Randy Vasquez",24719,681190
"Max Fried","ATL",174.1,54.7525520842572,44.08628251716248,41.23030057851239,,48.805016340694,64.91981144827585,59.16448185676391,,54.06832443600866,55.78659856832972,51.059864992769334,-0.12733898770788143,3.8860852133044115,"Max Fried",13743,608331
"Joey Estes","OAK",127.2,52.001985782442745,33.607259206349205,41.40334285714285,,63.19198635416668,,43.28497862222222,,54.21028803650716,40.623241243216576,60.29722877158361,-0.13615879625061666,3.8728526936359153,"Joey Estes",26257,683155
"Erik Miller","SFG",67.1,44.13870285579883,,,,56.80579502622376,80,68.51220930446758,,54.21044919343118,67.82208316249759,42.1755763868682,-0.13616846687383796,3.8728402786263403,"Erik Miller",26252,669062
"MacKenzie Gore","WSN",166.1,63.87165464695234,,,,31.655700949367088,53.30663737201366,42.709863646209385,,54.32920371285477,61.55099657762938,50.47729902170282,-0.14354681469115196,3.8617722804674464,"MacKenzie Gore",22201,669022
"Spencer Bivens","SFG",48.2,22.69023,51.38600237430168,76.66657618421053,,60.443332841530065,,45.13687528846154,,54.34228891927085,49.09848178385416,58.03847348958334,-0.14436022135416668,3.860552565104166,"Spencer Bivens",30226,702352
"Carlos Estévez","- - -",55,53.81729422310757,,,,55.33116679653679,60.28079,51.267647294117644,,54.35728414129111,47.416245992691834,57.526383532277706,-0.14528993909866014,3.8591577101096224,"Carlos Estevez",14542,608032
"Davis Daniel","LAA",30.1,55.38840012295082,,,,61.35109338842976,29.37194717948718,55.41459682692308,,54.357897952755906,38.708682086614175,63.45853649606299,-0.145327125984252,3.859101102362205,"Davis Daniel",27582,669721
"Ryne Stanek","- - -",55.1,54.786324209383615,50.03344084615385,,63.06268813397129,50.88925013758108,,,,54.425485445240525,65.57635400204708,44.48332931422722,-0.14952823950870003,3.8527999385875114,"Ryne Stanek",15947,592773
"Reid Detmers","LAA",87.1,54.255125857338825,,,,51.214413070866144,58.08257237885462,59.09222617117116,,54.432921994868515,45.08695477228992,49.250760474663245,-0.1499904746632457,3.85210717126363,"Reid Detmers",27468,672282
"Brayan Bello","BOS",162.1,29.6590288372093,56.55324797433546,,,56.51837834210526,,50.077297561643846,,54.47527702174714,54.51364600810912,54.23354858459271,-0.1526205197198673,3.8481616291927767,"Brayan Bello",23920,678394
"Pete Fairbanks","TBR",45.1,54.6188176243094,,,,50.82353482315112,,54.79097549999998,,54.49964504310344,56.06188852011494,53.84635096264365,-0.15413500000000008,3.8458899281609193,"Pete Fairbanks",17998,664126
"Luis Severino","NYM",182,53.32241909268293,55.59270953910617,37.38080922746782,,55.523427148997136,,49.19363912442395,,54.543545459889344,52.45227163554634,54.33464033886583,-0.15686273513139695,3.8417986410788374,"Luis Severino",15890,622663
"Yu Darvish","SDP",81.2,46.9051748953975,58.04319377358491,41.98190732142857,43.475199473684214,60.4684012633833,49.734983981481484,,53.825140312500004,54.5469036471519,49.63464373417722,59.60490224683545,-0.15707146360759497,3.841484137658228,"Yu Darvish",13074,506433
"Max Scherzer","TEX",43.1,55.33193051020408,,75.00863756097561,,50.32921337837838,54.91097354838709,52.658694516129025,,54.55214407462687,45.91367547761194,61.69348820895522,-0.15739580597014927,3.8409989701492537,"Max Scherzer",3137,453286
"Will Vest","DET",70.1,58.28274236476041,55.59033821917808,,,44.70403734939758,,44.26304307017543,,54.56349895328721,49.48571696366781,57.59422780276818,-0.158102223183391,3.839939342560553,"Will Vest",19769,676684
"Nathan Eovaldi","TEX",170.2,52.869625229826354,,60.7818924484536,59.230069876237636,48.12585356321839,54.49443740947075,,,54.64087916507816,44.03325630575678,60.83337938238658,-0.16290916126572627,3.8327290583301568,"Nathan Eovaldi",9132,543135
"Cam Booser","BOS",42.2,58.965529708029194,,50.294461722689064,,44.68887368098159,,,,54.64272368888889,51.300022014814814,51.58063266666665,-0.1630238074074074,3.832556651851851,"Cam Booser",16061,592155
"Carlos Rodón","NYY",175,59.44775201175703,,26.294391926605506,,55.63158527950311,39.56007357976654,50.55594014999999,,54.70293171502258,60.64951713088329,46.66465762411347,-0.1667646744036106,3.826945319148936,"Carlos Rodon",16137,607074
"Zach Pop","TOR",48.1,,53.72935567717996,44.435781195652176,,39.50861231481482,80,20.50872,,54.76705162822254,52.20838052917233,40.39427773405698,-0.17074766621438262,3.820971343283583,"Zach Pop",20185,647315
"Michael Grove","LAD",51,53.1470675,64.12184650273224,54.93978651515152,,48.7379910022779,,,50.91680637931034,54.767286795646925,58.463357593712196,56.66347171704957,-0.17076228536880292,3.8209486457073756,"Michael Grove",23221,675627
"Jack Leiter","TEX",35.2,60.126102680115274,,20,,58.695002153846154,40.625182763157895,29.47393153846154,,54.777510971599405,57.691962810164426,50.61608213751868,-0.1713983856502242,3.8199941554559045,"Jack Leiter",30146,683004
"Michael King","SDP",173.2,52.16339359228112,55.064350277290366,,,56.280865659545704,,53.03148375071849,,54.83782138041957,50.653805602447974,54.27075022254902,-0.17514515220088497,3.814374861422239,"Michael King",19853,650633
